Index,CPU Usage,Temperature C
324,36.9,55.3
325,36.5,54.8
326,35.7,54.8
327,36,55.8
328,33.5,55.8
329,36,54.8
330,37.2,54.8
331,43,56.9
332,41.4,56.4
333,37.9,55.3
334,55.8,58
335,69.4,59.1
336,34.9,56.9
337,37.4,55.8
338,37.7,55.8
339,49.4,56.9
340,82.4,60.1
341,92.3,60.1
342,43.1,57.5
343,35.4,56.9
344,36.2,56.9
345,37.6,56.9
346,41.9,56.4
347,37.7,56.4
348,33.8,55.8
349,35.9,56.4
350,36.2,55.8
351,36.1,55.8
352,36.4,55.8
353,39.7,55.8
354,35.1,55.8
355,33,55.8
356,33.5,55.8
357,35.9,55.8
358,36.1,54.8
359,37,54.8
360,43.7,56.4
361,34.6,55.3
362,33.7,55.3
363,34.3,55.8
364,39.2,55.8
365,36.6,54.8
366,36,54.8
367,35.3,55.8
368,35.8,56.4
369,33,54.8
370,33,55.3
371,34.8,55.8
372,35.3,55.3
373,34.7,55.3
374,45.3,56.9
375,31.3,55.8
376,39.1,56.4
377,29.4,55.8
378,35.1,55.3
379,31.6,55.3
380,32.1,55.3
381,30,55.8
382,30.3,54.8
383,31.4,55.8
384,30.2,55.3
385,32.6,54.8
386,31.1,54.8
387,30,54.8
388,38.8,55.8
389,29.9,54.8
390,30.2,55.3
391,32.1,55.3
392,31.3,54.8
393,34.6,54.8
394,32.2,54.8
395,30.1,55.3
396,29.9,55.3
397,28.5,54.2
398,30,54.8
399,34.6,55.3
400,33,55.3
401,30,55.3
402,37.6,55.8
403,30.6,55.3
404,29.5,54.2
405,32.7,54.8
406,31.6,53.7
407,30.7,54.2
408,30.6,53.7
409,29.6,54.2
410,30,54.2
411,35.4,55.3
412,28.8,54.2
413,26.3,54.2
414,26.9,54.2
415,29.8,54.8
416,25,54.2
417,24.7,53.7
418,26.5,52.6
419,30.4,52.6
420,27.1,52.6
421,25.7,52.6
422,26.2,51.5
423,25.2,52.6
424,23.8,52.1
425,25.1,52.6
426,26.5,52.6
427,26.6,52.6
428,25,53.7
429,29.9,53.7
430,35.8,53.7
431,24.1,53.7
432,27.1,53.2
433,27.5,52.6
434,25.9,53.2
435,26.3,52.6
436,25.3,53.7
437,26,53.7
438,25.9,53.7
439,26.7,53.7
440,27.6,53.7
441,25.9,53.7
442,26,51.5
443,31,53.7
444,32.6,53.7
445,29.1,53.7
446,30.9,53.7
447,30.9,53.7
448,29.7,53.7
449,29.4,53.7
450,30.3,53.7
451,28.1,54.8
452,29.7,53.7
453,30.8,53.7
454,30.3,54.2
455,31.9,53.7
456,29.2,53.7
457,37.2,55.8
458,29.1,54.8
459,30.4,54.2
460,31,54.2
461,30.2,54.2
462,29.4,53.7
463,29.1,53.7
464,27.9,53.7
465,29.5,53.7
466,30.1,53.7
467,31,53.7
468,30.8,53.7
469,29.3,54.2
470,29.6,53.7
471,36.5,54.8
472,28.3,54.2
473,31.2,53.7
474,41.1,54.8
475,31,54.8
476,28.9,54.2
477,28.9,54.8
478,29.5,54.2
479,27.9,54.2
480,30.1,53.7
481,30,53.7
482,29.8,54.2
483,28.8,54.2
484,29.4,54.8
485,36.2,55.8
486,29.9,54.8
487,30.8,54.8
488,36.4,55.8
489,31.6,54.8
490,30,54.8
491,28.2,54.8
492,28.9,54.2
493,37.3,54.8
494,26.3,54.2
495,26.8,54.2
496,26.3,53.7
497,27,53.7
498,25.9,53.7
499,28.3,54.2
500,37.8,54.2
501,29.2,52.6
502,31.4,52.6
503,31,52.6
504,28.9,52.6
505,29.2,53.7
506,32.1,54.2
507,33.2,54.2
508,31,53.7
509,30.5,53.7
510,29.9,53.7
511,32.4,54.8
512,33.5,54.8
513,34.5,55.3
514,28.6,54.8
515,31,54.2
516,30,54.8
517,30.5,54.2
518,29.3,54.2
519,28.7,54.8
520,29.5,54.8
521,41.2,54.8
522,31.7,54.8
523,32.1,53.7
524,29,52.6
525,28.4,53.2
526,47,55.8
527,48.6,55.8
528,40.2,55.8
529,32,54.8
530,29.7,54.2
531,27.8,54.2
532,29.1,54.2
533,45.2,56.4
534,33.4,55.3
535,31.8,55.3
536,29,54.8
537,28.2,54.8
538,33.3,54.8
539,28,54.8
540,39.6,56.4
541,29.2,55.3
542,37.3,55.8
543,31.6,54.8
544,29.4,55.8
545,36,55.8
546,30.3,55.3
547,30.3,55.8
548,32.8,55.8
549,36.8,55.3
550,30.4,55.3
551,29.3,55.3
552,29.5,54.8
553,28.9,55.3
554,37.4,55.8
555,30.7,55.8
556,37.9,56.4
557,51,56.9
558,56.7,58
559,32.2,55.8
560,32.9,56.9
561,29.2,55.8
562,29.5,55.8
563,32.7,56.9
564,38.9,56.4
565,34.4,56.4
566,33.4,56.4
567,31.3,56.9
